year,pick,nominator,player,member_id,drafted_by,price,position,total_fan_points,fan_points_per_dollar_spent
2022,123,Justin,Zach Ertz,8,Justin,1,TE,78.6,78.6
2022,124,Brian,Tampa Bay Buccaneers,2,Brian,1,DEF,51,51
2022,125,Daniel,San Francisco 49ers,4,Daniel,1,DEF,93.5,93.5
2022,126,Brian,T.J. Hockenson,2,Brian,1,TE,150.3,150.3
2022,127,Mario,Dallas Goedert,9,Mario,1,TE,100.6,100.6
2022,128,Jon,Hunter Henry,7,Jon,1,TE,68.2,68.2
2022,129,Justin,Romeo Doubs,8,Justin,1,WR,68.6,68.6
2022,130,Mario,Carson Wentz,9,Mario,1,QB,120.3,120.3
2022,131,Daniel,Robert Woods,4,Daniel,1,WR,72.2,72.2
2022,132,Mario,James Robinson,9,Mario,1,RB,90.6,90.6
2022,133,Jon,Tyler Lockett,7,Jon,1,WR,167.4,167.4
2022,134,Jack,Kadarius Toney,6,Jack,1,WR,34.4,34.4
2022,135,Bryan,Drake London,3,Bryan,1,WR,114.1,114.1
2022,136,Bryan,Davis Mills,3,Bryan,1,QB,163.5,163.5
2022,137,Grossman,Marcus Mariota,5,Eric + Mark,1,QB,209.56,209.56
2022,138,Nate,George Pickens,10,Nate,1,WR,119.8,119.8
2022,139,Justin,Treylon Burks,8,Justin,1,WR,70.7,70.7
2022,140,Jon,Joshua Kelley,7,Jon,1,RB,56.9,56.9
2022,141,Mario,Joshua Palmer,9,Mario,1,WR,112.9,112.9
2022,142,Daniel,James Cook,4,Daniel,1,RB,93.4,93.4
2022,143,Daniel,DeVante Parker,4,Daniel,1,WR,63.5,63.5
2022,144,Mario,Indianapolis Colts,9,Mario,1,DEF,48.5,48.5
2022,145,Nate,Green Bay Packers,10,Nate,1,,58,58
2022,146,Grossman,Mecole Hardman,5,Eric + Mark,1,WR,74.3,74.3
2022,147,Bill,Skyy Moore,1,Bill,1,WR,28.4,28.4
2022,148,Bryan,Cleveland Browns,3,Bryan,1,,60,60
2022,149,Bryan,K.J. Osborn,3,Bryan,1,WR,98.4,98.4
2022,150,Bill,Kenny Pickett,1,Bill,1,QB,147.96,147.96
2022,151,Grossman,Garrett Wilson,5,Eric + Mark,1,WR,153.3,153.3
2022,152,Daniel,Jameson Williams,4,Daniel,1,WR,14.6,14.6
2022,153,Nate,Rondale Moore,10,Nate,1,WR,54.9,54.9
2022,154,Grossman,Jahan Dotson,5,Eric + Mark,1,WR,98.4,98.4
2022,155,Bill,Baltimore Ravens,1,Bill,1,,59,59
2022,156,Bryan,Gerald Everett,3,Bryan,1,TE,86.7,86.7
2022,157,Bryan,Pat Freiermuth,3,Bryan,1,TE,102.7,102.7
2022,158,Nate,New Orleans Saints,10,Nate,1,,57,57
2022,159,Nate,Kenneth Gainwell,10,Nate,1,RB,69.7,69.7
2022,160,Bryan,george pickens,10,Nate,3,WR,119.8,39.93333333333333
2023,1,Bryan,Justin Fields,1,Bill,45,QB,241.06,5.356888888888889
2023,2,Justin,Garrett Wilson,5,Eric + Mark,29,WR,140.3,4.837931034482759
2023,3,Brian,Saquon Barkley,7,Jon,38,RB,188.5,4.9605263157894735
2023,4,Daniel,Josh Allen,4,Daniel,47,QB,395.08,8.405957446808511
2023,5,Grossman,Austin Ekeler,6,Jack,42,RB,154.5,3.6785714285714284
2023,6,Nate,Justin Jefferson,5,Eric + Mark,47,WR,138.2,2.9404255319148933
2023,7,Mario,Aaron Rodgers,9,Mario,11,QB,0,0
2023,8,Jon,Tyreek Hill,2,Brian,41,WR,295.7,7.212195121951219
2023,9,Bill,Patrick Mahomes,6,Jack,42,QB,301.72,7.183809523809525
2023,10,Jack,Bijan Robinson,8,Justin,40,RB,204.7,5.1175
2023,11,Jack,Jonathan Taylor,9,Mario,29,RB,127.3,4.389655172413793
2023,12,Bill,Jalen Hurts,4,Daniel,54,QB,388.22,7.18925925925926
2023,13,Jon,Nick Chubb,10,Nate,42,RB,25.6,0.6095238095238096
